time	pressure	flow
0	25.33333333	-1.16
0.001	25.39988889	-1.802142857
0.002	25.40330159	-2.239206349
0.003	25.46966667	-2.129190476
0.004	25.68828571	-1.094603175
0.005	26.03015873	1.016984127
0.006	26.56114286	4.892
0.007	27.17933333	10.77633333
0.008	27.89790476	18.91853968
0.009	28.61580952	28.88566667
0.01	29.38380952	39.81269841
0.011	30.30446032	51.03901587
0.012	31.20342857	62.37952381
0.013	32.076	74.00603175
0.014	32.85666667	86.01866667
0.015	33.59261905	97.92880952
0.016	34.23450794	109.0549841
0.017	34.85326984	118.8792381
0.018	35.48866667	127.0861905
0.019	36.1267619	133.309254
0.02	36.76365079	137.9414286
0.021	37.511	141.9276667
0.022	38.32206349	145.9466667
0.023	39.1537619	149.7389841
0.024	40.008	152.3925714
0.025	40.87920635	153.7431746
0.026	41.79536508	154.4295873
0.027	42.76842857	155.158619
0.028	43.85777778	155.4526667
0.029	44.98557143	154.612127
0.03	46.13952381	152.8571429
0.031	47.26488889	151.0013968
0.032	48.35333333	148.7861587
0.033	49.42290476	145.8863333
0.034	50.45936508	142.2318095
0.035	51.42388889	138.4044444
0.036	52.31914286	134.8944762
0.037	53.14674603	131.2559365
0.038	53.93053968	127.0432063
0.039	54.65728571	122.3619524
0.04	55.29142857	117.8911111
0.041	55.88696825	113.7602381
0.042	56.41733333	109.6773333
0.043	56.92852381	105.5706825
0.044	57.34857143	101.7258413
0.045	57.72904762	98.29857143
0.046	58.06819048	95.11473016
0.047	58.35726984	91.71011111
0.048	58.61866667	88.32028571
0.049	58.80777778	85.30922222
0.05	58.99984127	82.63460317
0.051	59.16957143	80.05757143
0.052	59.28511111	77.46206349
0.053	59.38909524	75.19673016
0.054	59.47733333	73.41542857
0.055	59.53722222	71.80253968
0.056	59.55666667	69.87444444
0.057	59.56395238	67.79857143
0.058	59.53885714	66.04695238
0.059	59.46228571	64.45942857
0.06	59.38380952	62.64238095
0.061	59.28538095	60.57355556
0.062	59.15673016	58.62146032
0.063	58.985	57.01166667
0.064	58.81596825	55.54692063
0.065	58.58912698	53.84230159
0.066	58.32390476	51.79161905
0.067	58.0317619	49.7192381
0.068	57.70669841	47.84171429
0.069	57.33495238	45.79552381
0.07	56.94111111	43.25333333
0.071	56.51404762	40.65057143
